"TSectors","Intensity"
"Agricultural",0
"Banned Parties",0
"Business",0
"Criminals",42.4
"Defense",0
"Dissident",123
"Education",14.4
"Elite",0
"Executive",0
"General Population",1057.2
"Government",386.2
"Intelligence Ministry",0
"Interior",0
"International Religious",0
"Judicial",6.4
"Kurd (Ethnic Group)",177.1
"Labor",0
"Legal",22.9
"Legislative",0
"Local",0
"Media",0
"Medical",0
"Military",0
"Muslim",1067.7
"National Religious",0
"Nongovernmental Organizations",0
"Parties",13.1
"Police",0
"Protestors",0
"Provincial",40.4
"Radicals",12.4
"Rebel",0
"Social",36.4
"Sunni",0
"Unidentified Forces",663.2
