"TSectors","Intensity"
"(National) Minor Party",21
"Air Force",0
"Army",0
"Business",0
"Center Right",0
"Centrist",0
"Criminals",167
"Dissident",188.8
"Education",26
"Executive",17.9
"General Population",1263.8
"Government",129.2
"Human Rights IGOs",0
"Human Rights NGOs",159.7
"Insurgents",32
"International Ethnic",20
"International Religious",42
"Labor",0
"Local",25
"Media",5.1
"Medical",0
"Military",121.7
"Muslim",41
"National Religious",18
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",14.6
"Parties",51.1
"Police",453.8
"Protestors",0
"Provincial",0
"Radicals",6.2
"Rebel",21
"Social",497.3
"Unidentified Forces",330.4
