"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",0
"Business",0
"Center Right",416.8
"Centrist",0
"Criminals",0
"Dissident",456.7
"Education",0
"Executive",21.9
"General Population",0
"Government",75.2
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",19.4
"Labor",0
"Local",0
"Media",0
"Medical",0
"Military",150.1
"Muslim",17.9
"National Religious",0
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",42.9
"Parties",5.9
"Police",599.9
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Social",584.7
"Unidentified Forces",390.9
