"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",0
"Business",68
"Center Right",3.6
"Centrist",2
"Criminals",29.2
"Dissident",35
"Education",0
"Executive",0
"General Population",751.6
"Government",522.2
"Human Rights IGOs",1.4
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",7
"Labor",0
"Local",0
"Media",17.4
"Medical",0
"Military",0
"Muslim",6.4
"National Religious",0
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",0
"Police",89.8
"Protestors",2
"Provincial",0
"Radicals",12
"Rebel",22
"Social",113.1
"Unidentified Forces",214.2
