"TSectors","Intensity"
"(National) Minor Party",30.2
"Air Force",0
"Army",23.2
"Business",48.2
"Center Right",23.2
"Centrist",34.2
"Criminals",85.2
"Dissident",107.4
"Education",48.2
"Executive",38.2
"General Population",588.4
"Government",622.7
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",30.2
"International Ethnic",0
"International Religious",59.2
"Labor",0
"Local",39.2
"Media",56.4
"Medical",0
"Military",0
"Muslim",0
"National Religious",85.2
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",34.8
"Parties",0
"Police",0
"Protestors",35.2
"Provincial",40.2
"Radicals",0
"Rebel",65.2
"Social",775.1
"Unidentified Forces",798.5
