"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",0
"Business",0
"Center Right",0
"Centrist",224.3
"Criminals",0
"Dissident",235.2
"Education",0
"Executive",406.500000000001
"General Population",524.5
"Government",286.9
"Human Rights IGOs",0
"Human Rights NGOs",101.8
"Insurgents",0
"International Ethnic",0
"International Religious",0
"Labor",0
"Local",0
"Media",137
"Medical",0
"Military",382.1
"Muslim",145.8
"National Religious",101.3
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",189.3
"Parties",78.5
"Police",396.3
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Social",503.4
"Unidentified Forces",813.7
