"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",17.6
"Business",0
"Center Right",0
"Centrist",0
"Criminals",0
"Dissident",241.1
"Education",0
"Executive",8
"General Population",0
"Government",444.1
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",0
"Labor",0
"Local",0
"Media",0
"Medical",0
"Military",203.1
"Muslim",21.6
"National Religious",121.1
"News",0
"Nongovernmental Organization (International)",64.6
"Nongovernmental Organizations",55.6
"Parties",24.6
"Police",151.6
"Protestors",76.6
"Provincial",0
"Radicals",0
"Rebel",0
"Social",1199.3
"Unidentified Forces",74.6
