"TSectors","Intensity"
"(National) Minor Party",14.6
"Air Force",12.8
"Army",0
"Business",23
"Center Right",17
"Centrist",13
"Criminals",97
"Dissident",60.2
"Education",0
"Executive",30
"General Population",0
"Government",88
"Human Rights IGOs",31
"Human Rights NGOs",0
"Insurgents",22
"International Ethnic",0
"International Religious",13
"Labor",22
"Local",0
"Media",0
"Medical",0
"Military",9.6
"Muslim",19
"National Religious",0
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",9.4
"Police",24
"Protestors",0
"Provincial",0
"Radicals",19
"Rebel",0
"Social",436.9
"Unidentified Forces",61
