"TSectors","Intensity"
"(National) Minor Party",11.4
"Air Force",0
"Army",26
"Business",5.4
"Center Right",8.4
"Centrist",28
"Criminals",106.9
"Dissident",43
"Education",0
"Executive",7.5
"General Population",295.4
"Government",159.2
"Human Rights IGOs",0
"Human Rights NGOs",11.4
"Insurgents",0
"International Ethnic",30.4
"International Religious",15.4
"Labor",0
"Local",0
"Media",1.4
"Medical",0
"Military",120
"Muslim",0
"National Religious",22.4
"News",0
"Nongovernmental Organization (International)",20.4
"Nongovernmental Organizations",0
"Parties",0
"Police",22.9
"Protestors",20.4
"Provincial",0
"Radicals",21.4
"Rebel",0
"Social",597.6
"Unidentified Forces",394.6
