"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",13.1
"Business",0
"Center Right",0
"Centrist",12.1
"Criminals",28.1
"Dissident",158
"Education",0
"Executive",0
"General Population",961.7
"Government",189.6
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",6.5
"Labor",19.1
"Local",0
"Media",21.2
"Medical",42.1
"Military",26.1
"Muslim",26.9
"National Religious",136.1
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",23.1
"Parties",16.1
"Police",91.2
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",69.1
"Social",567.4
"Unidentified Forces",434.7
