"TSectors","Intensity"
"(National) Minor Party",23.8
"Air Force",0
"Army",25.8
"Business",19.6
"Center Right",23.4
"Centrist",26.8
"Criminals",0
"Dissident",230
"Education",31.6
"Executive",12.8
"General Population",0
"Government",538.7
"Human Rights IGOs",34.8
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",40.3
"International Religious",0
"Labor",8.8
"Local",0
"Media",21.2
"Medical",0
"Military",231.6
"Muslim",0
"National Religious",47.5
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",41.4
"Parties",0
"Police",47.3
"Protestors",93.3
"Provincial",19.1
"Radicals",0
"Rebel",0
"Social",1296.6
"Unidentified Forces",329.3
